IDPRODUTO ,UNIDADES,CATEGORIA,NUMERAÇÃO,COLORAÇÃO,PREÇO FINAL,VENDAS,DATAS,QTD.ESTOQUE
SEXY RED,2,LINGERIE,M,VERMELHO,81,44630,NULL,1
SEX RED,2,LINGERIE,M,PRETO,81,44465,NULL,1
SEXBLACK.1386,2,LINGERIE,M,PRETO,82.57,44425,NULL,1
CALCINHA.BOX,1,LINGERIE.RD,M,AMARELA,8,45230,NULL,1
CALCINHA.BOX,1,LINGERIE.RD,G,AMARELA,8,45237,NULL,1
CALCINHA.BOX,1,LINGERIE.RD,U,BRANCO,8,44740,NULL,5
CALCINHA.BOX,1,LINGERIE.RD,M,VINHO,8,44730,NULL,3
CALCINHA.BOX,1,LINGERIE.RD,M,PRETO,8,44993,NULL,3
CALCINHA.BOX,1,LINGERIE.RD,G,PRETO,8,44241,NULL,3
CALCINHA.BOX,1,LINGERIE.RD,M,VERMELHO,8,45074,NULL,3
CALCINHA.BOX,1,LINGERIE.RD,G,VERMELHO,8,44619,NULL,2
CALCINHA.BOX,1,LINGERIE.RD,M,AZUL,8,44797,NULL,1
CALCINHA.BOX,1,LINGERIE.RD,G,AZUL,8,45060,NULL,1
CALCINHA.BOX,1,LINGERIE.RD,M,ROSA,8,45098,NULL,1
CALCINHA.BOX,1,LINGERIE.RD,G,ROSA,8,44611,NULL,1
CALCINHA.BOX,1,LINGERIE.RD,U,LARANJA,8,44731,NULL,2
PIJAMA.FLORAL,2,PIJAMA,GG,VERDE AGUA,58.9,44373,NULL,2
PIJAMA.LOVE,2,PIJAMA,GG,BRANCO AZUL,58.9,44661,NULL,2
DOLL.TOMJERRY,2,BABYDOLL,M,AZUL CLARO,42,44986,NULL,2
D.LILLO STICH,2,BABYDOLL,GG,PRETO,42,44722,NULL,2
D.LILLO STICH,2,BABYDOLL,G,PRETO,42,44485,NULL,2
CHICOTE,1,OBJETO,U,PRETO,10,44571,NULL,4
CHICOTE,1,OBJETO,U,PINK PRETO,10,45093,NULL,1
KIT SEDUÇÃO,2,OBJETO,U,PRETO,15,44220,NULL,4
LUB.UMED,1,PRODUTO 200ML,U,INCOLOR,45,44255,46065,6
LUB.UMED,1,PRODUTO 200ML,U,MORANGO,45,44985,46125,6
GUMI,2,P .RETARDANTE,U,CHOCOLATE ,7,44858,NULL,2
PULSE,2,P. RETARDANTE,U,ÓLEO VG,7,44852,NULL,7
PULSE,2,P .ELETRIZANTE,U,ÓLEO VG,7,44972,NULL,10
PULSE,2,P .SENSEBILITY,U,ÓLEO VG,7,44737,NULL,20
GUMMI,1,PRODUTO 30ML,U,CAIPIRINHA,7,44559,NULL,3
GUMMI,1,PRODUTO 30ML,U,MORANGO,7,45073,NULL,3
GUMMI ,1,PRODUTO 30ML,U,LEIT.CONDEN,7,45083,NULL,3
GUMMI,1,PRODUTO 3OML,U,FRAMBOESA,7,45082,NULL,3
SENSE,4,120W,ANAL,ROXO,70,44942,NULL,5
